timestamp;campaign;batch;code;tbl_speed;fom;main_comp;tbl_fill;SREL;pre_comp;produced;waste;cyl_main;cyl_pre;stiffness;ejection
2019-03-20 14:56:17;33;117;5;0;0;0;3.9;0;0;0;0;1;4;0;46
2019-03-20 14:56:27;33;117;5;0;0;0;3.9;0;0;0;0;1;4;0;46
2019-03-20 14:56:37;33;117;5;0;0;0;3.9;0;0;0;0;1;4;0;46
2019-03-20 14:56:47;33;117;5;0;0;0;3.9;0;0;0;0;1;4;0;46
2019-03-20 14:56:57;33;117;5;0;0;0;3.9;0;0;0;0;1;4;0;46
2019-03-20 14:57:07;33;117;5;0;0;0;3.9;0;0;0;0;1;4;0;46
2019-03-20 14:57:17;33;117;5;0;17;0;3.9;0;0;0;0;1;4;0;46
2019-03-20 14:57:27;33;117;5;3.7;20;0;3.9;0;0;0;0;1;4;0;46
2019-03-20 14:57:37;33;117;5;0;0;0;3.9;0;0;0;0;1;4;0;46
2019-03-20 14:57:47;33;117;5;0;0;0;3.9;0;0;0;0;1;4;0;46
2019-03-20 14:57:57;33;117;5;;;;;;;;;;;;
2019-03-20 14:58:07;33;117;5;;;;;;;;;;;;
2019-03-20 14:58:17;33;117;5;;;;;;;;;;;;
2019-03-20 14:58:27;33;117;5;;;;;;;;;;;;
2019-03-20 14:58:37;33;117;5;;;;;;;;;;;;
2019-03-20 14:58:47;33;117;5;;;;;;;;;;;;
2019-03-20 14:58:57;33;117;5;;;;;;;;;;;;
2019-03-20 14:59:07;33;117;5;;;;;;;;;;;;
2019-03-20 14:59:17;33;117;5;;;;;;;;;;;;
2019-03-20 14:59:27;33;117;5;;;;;;;;;;;;
2019-03-20 14:59:37;33;117;5;;;;;;;;;;;;
2019-03-20 14:59:47;33;117;5;;;;;;;;;;;;
2019-03-20 14:59:57;33;117;5;;;;;;;;;;;;
2019-03-20 15:00:37;33;117;5;48.9;20;2.9;3.9;59.3;0;0;91;1;4;0;0
2019-03-20 15:00:47;33;117;5;120;20;4;3.9;59.3;0;0;407;1;4;66;65
