batch;code;strength;size;start;api_code;api_batch;smcc_batch;lactose_batch;starch_batch;api_water;api_total_impurities;api_l_impurity;api_content;api_ps01;api_ps05;api_ps09;lactose_water;lactose_sieve0045;lactose_sieve015;lactose_sieve025;smcc_water;smcc_td;smcc_bd;smcc_ps01;smcc_ps05;smcc_ps09;starch_ph;starch_water;tbl_min_thickness;tbl_max_thickness;fct_min_thickness;fct_max_thickness;tbl_min_weight;tbl_max_weight;tbl_rsd_weight;fct_rsd_weight;tbl_min_hardness;tbl_max_hardness;tbl_av_hardness;fct_min_hardness;fct_max_hardness;fct_av_hardness;tbl_max_diameter;fct_max_diameter;tbl_tensile;fct_tensile;tbl_yield;batch_yield;dissolution_av;dissolution_min;resodual_solvent;impurities_total;impurity_o;impurity_l
1;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;111;116;0.92;0.72;56.84;68.6;46;37;56;62.72;6.1;6.1;1.412698315;1.926183442;95.785;94.697;93.83;86;0.06;0.33;0.05;0.16
2;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;112;116;0.89;0.8;56.84;70.56;46;39;56;64.68;6.1;6.1;1.412698315;1.986376675;98.467;97.348;99.67;92;0.04;0.34;0.06;0.16
3;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;111;115;0.83;0.78;58.8;70.56;46;39;57;65.66;6.1;6.1;1.412698315;2.016473291;98.496;99.242;97.33;92;0.03;0.28;0.05;0.16
4;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;110;117;0.53;0.88;58.8;72.52;48;57;40;63.7;6.1;6.1;1.474119981;1.956280058;97.736;98.106;94.5;89;0.03;0.3;0.05;0.18
5;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;112;115;0.75;0.69;56.84;68.6;47;39;59;62.72;6.1;6.1;1.443409148;1.926183442;98.106;98.106;92;88;0.04;0.31;0.05;0.18
6;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;112;116;0.57;0.72;58.8;70.56;49;43;55;65.66;6.1;6.1;1.504830814;2.016473291;98.099;97.727;97.67;94;0.07;0.33;0.05;0.2
7;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;112;115;0.55;0.69;61.74;75.46;47;40;54;67.62;6.1;6.1;1.443409148;2.076666523;98.864;98.864;95.17;88;0.07;0.32;0.05;0.19
8;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;112;116;0.68;0.8;62.72;82.32;47;39;57;68.6;6.1;6.1;1.443409148;2.10676314;98.868;99.242;96.5;90;0.07;0.32;0.05;0.19
9;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.3;3.4;111;115;0.93;0.86;62.72;74.48;50;39;59;66.64;6.1;6.1;1.535541647;2.046569907;96.591;96.591;95;91;0.04;0.36;0.05;0.18
10;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.3;3.4;110;116;0.87;1.01;58.8;74.48;47;41;57;67.62;6.1;6.1;1.443409148;2.076666523;98.496;99.242;92.17;89;0.08;0.32;0.05;0.19
11;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;110;114;0.76;0.78;56.84;64.68;44;39;52;60.76;6.1;6;1.351276649;1.897090046;98.479;98.106;95;91;0.05;0.36;0.05;0.18
12;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;111;116;0.59;0.76;60.76;72.52;46;38;54;67.62;6.1;6;1.412698315;2.111277632;96.226;96.591;100.33;98;0.06;0.31;0.05;0.19
13;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;111;116;0.58;0.91;59.78;68.6;44;38;52;65.66;6.1;6.1;1.351276649;2.016473291;98.864;98.864;94.5;92;0.06;0.37;0.05;0.19
14;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;111;115;0.8;0.74;63.7;76.44;50;43;58;69.58;6.1;6.1;1.535541647;2.136859756;100;100;100;97;0.03;0.31;0.05;0.19
15;25;5MG;240000;nov.18;5;2;1;2;1;1.53;0.25;0.13;94.5;1.27;18.52;109.999;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.4;3.4;111;116;0.83;0.97;56.84;68.6;43;36;52;62.72;6.1;6.1;1.320565816;1.926183442;96.97;96.97;93.67;90;0.04;0.3;0.05;0.18
16;2;10M;1920000;nov.18;1;3;1;2;1;1.64;0.05;0.05;94.6;1.21;18.06;132.505;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.2;3.4;3.3;3.4;110;115;1.14;0.94;58.8;82.32;54;39;82;68.6;6.1;6.1;1.658384979;2.10676314;98.672;98.485;94.83;92;0.05;0.05;0.05;0.05
17;2;10M;1920000;nov.18;1;3;1;2;1;1.64;0.05;0.05;94.6;1.21;18.06;132.505;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.2;3.5;3.4;3.5;110;114;1.02;0.8;58.8;72.52;54;37;78;67.62;6;6.1;1.637852593;2.017333194;99.148;99.195;90;86;0.05;0.05;0.05;0.05
18;2;10M;1920000;nov.18;1;3;1;2;1;1.64;0.05;0.05;94.6;1.21;18.06;132.505;0.05;17;50;82;4.251;0.45;0.33;31.156;112.141;245.499;4.4;3.012;3.3;3.4;3.5;3.5;111;114;1.04;0.64;56.84;72.52;48;37;65;63.7;6;6.1;1.498688647;1.900386342;99.243;99.337;91.83;89;0.05;0.05;0.05;0.05
19;3;20M;960000;nov.18;1;4;2;2;1;1.68;0.05;0.05;94.5;1.76;31.55;136.534;0.05;17;50;82;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;3.9;4;4;4.1;218;228;0.95;1.14;61.74;77.42;59;41;73;70.56;8.3;8.1;1.1319162;1.353287418;99.053;99.1;89.67;84;0.05;0.05;0.05;0.05
20;3;20M;960000;nov.18;1;4;2;2;1;1.68;0.05;0.05;94.5;1.76;31.55;136.534;0.05;17;50;82;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;4;4;4.1;4.1;218;229;1.1;1.24;58.8;78.4;50;38;62;66.64;8.1;8.1;0.982936227;1.278104784;99.337;99.337;87.5;84;0.05;0.05;0.05;0.05
21;3;20M;960000;nov.18;1;5;2;2;1;1.9;0.05;0.05;94.3;1.95;38.01;143.904;0.05;17;50;82;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;4;4.1;4.1;4.1;220;228;1.14;1.01;60.76;76.44;55;40;66;70.56;8;8.1;1.06804412;1.353287418;99.336;99.242;91;84;0.05;0.05;0.05;0.05
22;4;40M;583000;nov.18;1;5;2;2;1;1.9;0.05;0.05;94.3;1.95;38.01;143.904;0.05;17;50;82;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;5.2;5.4;5.4;5.5;444;461;0.98;1.05;88.2;121.52;91;55;115;109.76;10;10.1;1.07336636;1.258520757;97.973;98.004;86.5;84;0.16;0.08;0.05;0.08
23;4;40M;583000;nov.18;1;5;2;2;1;1.9;0.05;0.05;94.3;1.95;38.01;143.904;0.05;17;50;82;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;5.2;5.3;5.5;5.5;448;461;1.13;0.87;94.08;119.56;91;70;120;105.84;10;10.2;1.093618555;1.201675806;98.009;97.848;84.67;81;0.19;0.08;0.05;0.08
24;4;40M;583000;nov.18;1;6;2;2;1;2.38;0.05;0.05;93.9;1.78;35.1;155.803;0.05;17;50;82;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;5.1;5.2;5.4;5.5;445;456;0.99;0.68;103.88;117.6;94;71;113;111.72;10.1;10.2;1.13999641;1.268435573;99.102;98.979;89.67;88;0.2;0.08;0.05;0.08
25;4;40M;583000;nov.18;1;7;2;2;1;1.81;0.05;0.05;94.4;1.82;33.76;140.346;0.05;17;50;82;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;5.2;5.3;5.4;5.5;443;459;1.31;0.9;96.04;123.48;96;78;127;109.76;10;10.2;1.153707487;1.246182318;98.05;98.004;89.67;84;0.2;0.07;0.05;0.07
38;14;5MG;4800000;nov.18;3;18;2;2;1;1.84;0.36;0.05;93.9;3.8;47.81;170.36;0.05;17;50;82;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;2.5;2.7;3;2.6;55.6;57.3;0.85;0.8;38.22;54.88;27;20;35;49;5;5.1;1.27388535;2.353709735;98.824;98.712;91.67;88;0.02;0.12;0.05;0.05
39;15;40M;1100000;nov.18;3;18;2;2;1;1.84;0.36;0.05;93.9;3.8;47.81;170.36;0.05;17;50;82;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;5.2;5.4;5.4;5.4;442;458;1.36;0.9;96.04;119.56;87;59;113;106.82;10.1;10.1;1.016025169;1.247492053;96.734;96.694;83.5;81;0.11;0.07;0.05;0.05
26;1;5MG;240000;nov.18;1;8;2;3;1;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;3.3;3.3;3.3;3.4;111;114;0.79;0.78;60.76;76.44;51;43;62;65.66;6;6.1;1.640609921;2.016473291;95.769;94.318;97.33;93;0.1;0.09;0.05;0.09
27;1;5MG;240000;nov.18;1;8;2;3;1;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;3.2;3.3;3.3;3.4;111;114;0.83;0.77;70.56;80.36;58;50;67;79.38;6.1;6.1;1.835204926;2.437825919;98.084;96.97;94.33;88;0.09;0.09;0.05;0.09
28;1;5MG;240000;nov.18;1;8;2;3;1;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;3.2;3.3;3.3;3.4;110;114;0.99;0.89;64.68;74.48;56;43;68;70.56;6.1;6.1;1.771921997;2.166956372;98.473;97.727;93.83;91;0.09;0.07;0.05;0.07
29;1;5MG;240000;nov.18;1;8;2;3;1;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;3.3;3.3;3.3;3.4;110;115;0.87;0.99;58.8;70.56;51;43;60;65.66;6;6.1;1.640609921;2.016473291;99.62;99.242;95.33;92;0.1;0.07;0.05;0.07
30;1;5MG;240000;nov.18;1;8;2;3;1;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;3.3;3.4;3.4;3.5;110;114;0.92;0.87;58.8;74.48;49;43;59;68.6;6.1;6.1;1.504830814;2.046569907;98.479;98.106;96.5;91;0.1;0.09;0.05;0.09
31;1;5MG;240000;nov.18;1;8;2;3;1;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;3.3;3.4;3.3;3.4;110;114;1.12;0.89;58.8;70.56;49;40;61;63.7;6.1;6.1;1.504830814;1.956280058;98.099;97.727;94.67;88;0.11;0.07;0.05;0.07
32;1;5MG;240000;nov.18;1;8;2;3;1;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;3.3;3.4;3.4;3.4;111;115;1.01;0.91;60.76;70.56;48;40;58;64.68;6.1;6.1;1.474119981;1.986376675;100;99.621;96.17;90;0.1;0.09;0.05;0.09
33;1;5MG;240000;nov.18;1;8;2;3;1;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;3.3;3.3;3.3;3.4;110;114;0.92;0.94;52.92;64.68;45;37;56;60.76;6;6.1;1.447596989;1.865990209;97.701;96.591;92.33;86;0.07;0.06;0.05;0.06
34;1;5MG;240000;nov.18;1;8;2;3;1;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;3.3;3.3;3.3;3.4;110;113;0.81;0.63;56.84;66.64;50;37;57;61.74;6;6.1;1.608441099;1.896086826;97.71;96.97;94.17;85;0.06;0.07;0.05;0.07
35;1;5MG;240000;nov.18;1;8;2;3;1;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;3.2;3.4;3.3;3.4;111;114;0.8;0.69;62.72;74.48;52;45;59;67.62;6;6.1;1.623579368;2.076666523;98.855;98.106;94.83;90;0.07;0.06;0.05;0.06
36;1;5MG;240000;nov.18;1;8;2;3;1;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;3.2;3.4;3.4;3.4;112;115;0.92;0.72;66.64;80.36;57;31;67;73.5;6;6.3;1.779692769;2.185587611;98.868;99.242;96.17;92;0.07;0.07;0.05;0.07
37;1;5MG;240000;nov.18;1;8;2;3;1;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;3.012;3.2;3.3;3.3;3.4;110;113;0.91;0.63;62.72;82.32;53;38;64;70.56;6;6;1.704947565;2.203072312;97.328;96.591;97.67;95;0.08;0.07;0.05;0.07
40;1;5MG;240000;nov.18;1;8;2;3;2;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.2;3.3;3.3;3.4;112;115;1.1;0.75;58.8;84.28;50;44;58;72.52;6;6.1;1.608441099;2.227149605;97.727;97.727;96.33;93;0.08;0.08;0.05;0.08
41;1;5MG;240000;nov.18;1;8;2;3;2;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.2;3.4;3.3;3.4;111;115;1.06;0.66;60.76;86.24;44;36;57;72.52;6;6.1;1.373797927;2.227149605;96.578;96.212;93.5;86;0.07;0.08;0.05;0.08
42;1;5MG;240000;nov.18;1;8;2;3;2;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.2;3.3;3.3;3.3;112;115;0.79;0.74;72.52;98;61;50;74;83.3;6;6.1;1.962298141;2.635733971;98.106;98.106;98.33;92;0.16;0.11;0.05;0.11
43;1;5MG;240000;nov.18;1;8;2;3;2;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.2;3.3;3.3;3.4;111;115;1.18;0.95;62.72;82.32;51;42;60;76.44;6;6.1;1.640609921;2.34753607;96.591;96.591;94;89;0.17;0.09;0.05;0.09
44;1;5MG;240000;nov.18;1;8;2;3;2;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.2;3.3;3.3;3.4;112;115;1.05;0.8;68.6;84.28;50;43;63;76.44;6;6.1;1.608441099;2.34753607;98.485;98.485;92.83;89;0.21;0.09;0.05;0.09
45;1;5MG;240000;nov.18;1;8;2;3;2;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.2;3.3;3.3;3.4;112;115;1.1;0.75;62.72;88.2;49;38;58;68.6;6;6.1;1.576272277;2.10676314;97.358;97.727;94;90;0.14;0.09;0.05;0.09
46;1;5MG;240000;nov.18;1;8;2;3;2;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.2;3.3;3.3;3.4;111;115;1.03;0.96;60.76;80.36;51;44;60;71.54;6;6.1;1.640609921;2.197052988;98.106;98.106;96.17;93;0.18;0.1;0.05;0.1
47;1;5MG;240000;nov.18;1;8;2;3;2;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.2;3.3;3.3;3.4;111;117;0.89;1.09;70.56;88.2;51;43;60;79.38;6;6.1;1.640609921;2.437825919;97.727;97.727;96;86;0.16;0.08;0.05;0.08
48;1;5MG;240000;nov.18;1;8;2;3;2;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.2;3.3;3.3;3.4;112;116;1.37;1.05;70.56;101.92;46;38;56;86.24;6;6.2;1.479765811;2.605784455;96.981;97.348;95;91;0.17;0.11;0.05;0.11
49;1;5MG;240000;nov.18;1;8;2;3;2;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.2;3.3;3.4;3.4;112;116;1;0.88;68.6;84.28;47;39;54;75.46;6;6.2;1.511934633;2.280061398;97.727;97.727;91.83;85;0.21;0.1;0.05;0.05
50;1;5MG;240000;nov.18;1;8;2;3;2;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.2;3.3;3.3;3.4;112;116;1.04;0.87;72.52;86.24;47;40;59;78.4;6;6.1;1.511934633;2.407729302;98.106;98.106;90;84;0.24;0.1;0.05;0.1
51;1;5MG;240000;nov.18;1;8;2;3;2;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.2;3.3;3.3;3.4;111;115;0.98;0.93;62.72;90.16;49;42;59;77.42;6;6.1;1.576272277;2.377632686;98.864;98.864;91.67;89;0.24;0.1;0.05;0.1
52;1;5MG;240000;nov.18;1;8;2;3;2;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.2;3.3;3.3;3.4;112;115;0.94;0.79;70.56;88.2;51;43;60;80.36;6;6.1;1.640609921;2.467922535;97.338;96.97;90.5;87;0.18;0.09;0.05;0.09
53;1;5MG;240000;nov.18;1;8;2;3;2;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.2;3.3;3.3;3.4;112;116;0.97;0.96;70.56;96.04;52;43;65;82.32;6;6.1;1.672778743;2.528115768;98.864;98.864;92.83;89;0.21;0.1;0.05;0.1
54;1;5MG;240000;nov.18;1;8;2;3;2;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.2;3.3;3.3;3.4;111;115;0.9;0.96;66.64;101.92;49;40;59;85.26;6;6.2;1.576272277;2.576173268;97.348;97.348;92.5;86;0.18;0.11;0.05;0.11
55;1;5MG;240000;nov.18;1;8;2;3;2;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.2;3.3;3.3;3.4;111;115;1.08;0.75;74.48;107.8;55;44;63;85.26;6;6.1;1.769285209;2.618405616;95.113;95.833;96;90;0.23;0.1;0.05;0.1
56;1;5MG;240000;nov.18;1;8;2;3;2;2.04;0.05;0.05;94.2;2.65;54.96;171.579;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.2;3.3;3.3;3.3;111;114;0.81;0.81;68.6;88.2;48;41;61;76.44;6;6.1;1.544103455;2.418673527;97.719;97.348;95.83;92;0.16;0.1;0.05;0.1
57;2;10M;1920000;nov.18;1;9;2;3;2;1.68;0.05;0.05;94.4;1.27;13.62;118.705;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.2;3.4;3.3;3.4;110;115;1.17;1.06;57.82;72.52;55;38;71;64.68;6;6.1;1.717247409;1.986376675;97.82;97.727;89.5;85;0.05;0.05;0.05;0.05
58;2;10M;1920000;nov.18;1;9;2;3;2;1.68;0.05;0.05;94.4;1.27;13.62;118.705;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.3;3.4;3.4;3.4;108;115;1.15;1.36;54.88;74.48;50;36;67;60.76;6;6.1;1.561134008;1.865990209;98.388;98.248;90.5;86;0.05;0.05;0.05;0.05
59;2;10M;1920000;nov.18;1;9;2;3;2;1.68;0.05;0.05;94.4;1.27;13.62;118.705;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.2;3.4;3.3;3.4;108;113;0.9;0.87;53.9;71.54;49;37;61;61.74;6;6.1;1.529911328;1.896086826;99.102;99.242;90.83;87;0.05;0.05;0.05;0.05
60;3;20M;960000;nov.18;1;10;2;3;2;2.16;0.05;0.05;94.1;2.42;49.43;158.215;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;4;4.1;4.1;4.2;219;229;1.69;0.96;60.76;68.6;51;32;74;63.7;8.1;8.1;0.978141416;1.192629289;97.63;97.538;86.33;83;0.07;0.05;0.07;0.05
61;24;40M;1100000;nov.18;5;11;2;3;2;1.08;0.2;0.07;95;1.36;28.22;144.887;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;5.2;5.3;5.3;5.4;441;459;1.29;1.07;103.88;119.56;90;60;113;112.7;10.1;10.1;1.070891851;1.31616134;97.601;97.521;90.33;84;0.05;0.28;0.06;0.09
73;23;20M;960000;nov.18;5;119;2;3;2;1.67;0.25;0.08;94.4;1.4;25.09;125.568;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;4;4.1;4.1;4.1;223;230;1.37;0.71;62.72;70.56;52;34;68;66.64;8.1;8.1;0.99732066;1.278104784;97.491;97.491;91.5;83;0.02;0.32;0.07;0.12
74;23;20M;960000;nov.18;5;119;2;3;2;1.91;0.24;0.07;94.1;1.45;18.76;115.7;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;4;4.1;4.1;4.1;220;229;1.03;1.16;50.96;70.56;47;35;61;62.72;8.1;8.1;0.901424442;1.20292215;99.526;99.432;91.5;83;0.02;0.32;0.07;0.12
75;23;20M;960000;nov.18;5;156;2;3;2;1.91;0.24;0.07;94.1;1.45;18.76;115.7;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;4;4.1;4.1;4.1;223;229;0.87;0.86;60.76;80.36;51;39;63;68.6;8.1;8.1;0.978141416;1.315696101;98.766;98.532;90.83;88;0;0.23;0.05;0.1
76;23;20M;960000;nov.18;5;156;2;3;2;1.91;0.24;0.07;94.1;1.45;18.76;115.7;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;4;4.1;4.1;4.1;222;231;1.03;1.07;54.88;78.4;52;39;67;65.66;8.1;8.1;0.99732066;1.259309125;99.432;99.479;92.17;89;0;0.21;0.05;0.09
62;12;10M;1920000;nov.18;5;12;2;3;2;1.91;0.24;0.07;94.1;1.45;18.76;115.7;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;2.8;2.9;2.9;3;111;116;0.99;0.96;58.8;72.52;55;31;64;66.64;7.1;7.1;1.701401026;1.992763374;98.578;98.438;98.33;95;0;0.24;0.05;0.11
63;12;10M;1920000;nov.18;5;12;2;3;2;1.91;0.24;0.07;94.1;1.45;18.76;115.7;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;2.8;2.9;2.9;2.9;111;116;1;1.03;52.92;68.6;49;34;63;60.76;7.1;7.1;1.515793642;1.879584116;97.346;97.254;97.33;93;0;0.24;0.05;0.11
64;10;20M;960000;dec.18;5;12;2;3;2;1.91;0.24;0.07;94.1;1.45;18.76;115.7;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.7;3.9;3.8;3.9;222;229;1.39;0.76;50.96;74.48;54;30;70;63.7;9.1;9.1;0.969143546;1.143230443;98.723;98.816;92.17;88;0;0.29;0.05;0.11
65;10;20M;960000;dec.18;5;13;2;3;2;2.26;0.18;0.06;93.9;1.65;45.13;198.63;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.7;3.8;3.8;3.8;222;230;1.13;1.02;56.84;80.36;59;46;70;70.56;9.1;9.1;1.086744298;1.299672503;99.289;99.242;92.33;91;0;0.21;0.05;0.09
66;10;20M;960000;dec.18;5;13;2;3;2;2.26;0.18;0.06;93.9;1.65;45.13;198.63;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.7;3.8;3.9;3.9;222;231;1.14;1.2;60.76;84.28;54;40;66;67.62;9;9.2;1.005698961;1.200391965;98.768;98.674;92.83;89;0;0.26;0.05;0.09
67;10;20M;960000;dec.18;5;13;2;3;2;2.26;0.18;0.06;93.9;1.65;45.13;198.63;0.05;17;49;81;4.719;0.43;0.33;37.615;126.114;261.773;4.4;2.605;3.7;3.8;3.8;3.9;223;232;1.34;0.93;58.8;72.52;54;37;67;63.7;9;9.1;1.005698961;1.143230443;99.29;99.384;88.67;85;0;0.21;0.05;0.09
