batch;code;tbl_speed_mean;tbl_speed_change;tbl_speed_0_duration;total_waste;startup_waste;weekend;fom_mean;fom_change;SREL_startup_mean;SREL_production_mean;SREL_production_max;main_CompForce mean;main_CompForce_sd;main_CompForce_median;pre_CompForce_mean;tbl_fill_mean;tbl_fill_sd;cyl_height_mean;stiffness_mean;stiffness_max;stiffness_min;ejection_mean;ejection_max;ejection_min;Startup_tbl_fill_maxDifference;Startup_main_CompForce_mean;Startup_tbl_fill_mean;Drug release average (%);Drug release min (%);Residual solvent;Total impurities;Impurity O;Impurity L
1;25;99.86465621;5.416666667;149.5833333;2125.416667;5085;no;49.96144578;12;4.392;3.559875776;7.1;4.255403727;0.058473468;4.3;0.1;5.332248447;0.095937572;2.099465839;91.01614907;103;67;223.3192547;248;196;0.38;4.5875;5.466666667;93.83;86;0.06;0.33;0.05;0.16
2;25;99.93634204;2.5;128.3333333;887.5;2115;no;49.96204033;5;9.258333333;3.494945848;8.8;4.251022864;0.056787817;4.2;0.099277978;5.299530686;0.099699047;2.105270758;88.22382671;103;77;215.9638989;252;194;0.18;4.390909091;5.315454545;99.67;92;0.04;0.34;0.06;0.16
3;25;99.98598351;2.5;83.33333333;796.25;1895;no;49.96117647;6;7.2;3.392133492;8.7;4.261263409;0.054521796;4.3;0.00476758;5.311096544;0.107813987;2.113003576;88.96781883;111;72;212.5303933;248;184;0.12;4.43;5.242;97.33;92;0.03;0.28;0.05;0.16
4;25;99.97686833;2.916666667;76.25;695.8333333;1645;no;49.96090047;9;7.122222222;3.416047904;9;4.35760479;0.062704912;4.4;0;5.309988024;0.115553614;2.104526946;101.4311377;121;83;225.9389222;262;197;0.24;4.5;5.22125;94.5;89;0.03;0.3;0.05;0.18
5;25;99.96828402;2.5;121.25;829.1666667;1971;no;50;5;14.45;3.460359281;9.8;4.249461078;0.056974662;4.2;0;5.319628743;0.103193521;2.126347305;108.9784431;132;91;237.3053892;264;205;0.19;3.96;5.233;92;88;0.04;0.31;0.05;0.18
6;25;99.97676647;2.5;97.91666667;780.8333333;1853;no;49.9223417;7;8.458333333;3.405454545;9.2;4.456;0.061264982;4.5;0;5.358581818;0.107666335;2.12;108.4739394;130;87;235.270303;264;206;0.23;4.53;5.3;97.67;94;0.07;0.33;0.05;0.2
7;25;99.94490521;3.333333333;105;403.3333333;947;no;49.96094675;6;11.7125;3.360692951;8.6;4.254719235;0.057602198;4.3;0;5.344014337;0.10639207;2.14;104.4492234;126;84;221.5567503;249;186;0.3;4.4;5.304285714;95.17;88;0.07;0.32;0.05;0.19
8;25;100;2.916666667;120.8333333;405.4166667;928;no;49.96226415;6;2.9;3.330595238;9.4;4.251785714;0.059169072;4.3;0;5.331321429;0.105822356;2.14;101.1511905;121;85;219.4904762;244;187;0.24;4.214285714;5.321428571;96.5;90;0.07;0.32;0.05;0.19
9;25;99.90986763;3.333333333;122.5;777.5;1832;no;49.96153846;8;7.73;3.428467153;9.5;4.360705596;0.057142585;4.4;0;5.336970803;0.070328595;2.12406326;100.3272506;120;80;219.7749392;246;192;0.21;4.322222222;5.264444444;95;91;0.04;0.36;0.05;0.18
10;25;99.82497096;5.416666667;122.0833333;962.5;2245;no;49.96287703;7;14.92142857;3.389504717;10.1;4.152948113;0.059440819;4.2;0;5.303408019;0.12017525;2.137441038;104.5448113;134;86;216.0247642;252;189;0.18;3.792307692;5.209230769;92.17;89;0.08;0.32;0.05;0.19
11;25;100;2.916666667;109.1666667;1490;3545;no;49.9623086;7;6.052941176;3.449759615;9.1;3.759375;0.053142804;3.8;0;5.28421875;0.122344192;2.187223558;103.8870192;131;81;209.0793269;235;180;0.19;4.0125;5.228125;95;91;0.05;0.36;0.05;0.18
12;25;100;2.083333333;106.25;985;2356;no;49.96139928;5;7.792307692;3.329656863;6.2;3.766911765;0.052033704;3.8;0;5.253933824;0.041651084;2.189656863;99.22426471;121;82;200.5968137;226;174;0.15;3.866666667;5.210833333;100.33;98;0.06;0.31;0.05;0.19
13;25;100.0138012;2.916666667;141.25;873.75;2063;no;49.96261682;6;3.246153846;3.309964413;9.6;3.66737841;0.050093811;3.7;0;5.215088968;0.060750144;2.18;97.97271649;126;76;191.1221827;235;163;0.12;3.675;5.195;94.5;92;0.06;0.37;0.05;0.19
14;25;99.99017544;2.916666667;110.4166667;559.5833333;1327;no;49.9614486;8;11.6625;3.316037736;10.3;4.054363208;0.054370457;4.1;0;5.28625;0.097021006;2.151084906;109.0400943;134;81;214.7087264;240;187;0.33;4.042857143;5.281428571;100;97;0.03;0.31;0.05;0.19
15;25;100;2.083333333;122.5;891.25;2105;no;49.96071429;7;6.636363636;3.351025332;10;3.665138721;0.051809166;3.7;0;5.248685163;0.081724076;2.186055489;109.3160434;138;84;210.4885404;247;176;0.16;3.52;5.226;93.67;90;0.04;0.3;0.05;0.18
16;2;119.9244988;3.125;53.07291667;622.1875;5218;no;20.0462766;20;17.82380952;5.26422851;8.2;4.026699893;0.343326991;3.8;0.000373799;6.165900676;0.093949115;1.730679957;111.1457814;214;46;190.012104;373;122;2.32;5.436842105;5.837894737;94.83;92;0.05;0.05;0.05;0.05
17;2;119.9568025;3.645833333;50.36458333;566.0416667;4008;no;19.99964714;9;4.978571429;5.794021931;8.9;3.380650867;0.299667604;3.2;0;6.198967103;0.082325745;1.822232048;101.1114255;200;39;171.0178635;272;106;0.46;4.292307692;5.984615385;90;86;0.05;0.05;0.05;0.05
18;2;119.9972012;0.520833333;22.29166667;422.03125;5480;no;19.99964801;10;5.831578947;5.834681264;9.3;3.154070281;0.061080117;3.2;0;6.130109483;0.080754492;1.85;99.1130143;167;73;162.9226558;182;143;0.4;3.4;6.167777778;91.83;89;0.05;0.05;0.05;0.05
19;3;119.889147;2.8125;38.54166667;466.1458333;4257;no;6.538153042;9;4.456967213;4.035581395;7.6;6.256605089;0.118726585;6.3;0.041094458;6.566012548;0.04148475;2.054959916;0.244336006;13;0;229.1066574;294;96;1.77;8.346666667;6.173333333;89.67;84;0.05;0.05;0.05;0.05
20;3;119.9372359;2.5;48.85416667;309.375;2796;no;6.580321812;5;2.747115385;4.174737188;7;5.459422809;0.116789877;5.5;0;6.583734353;0.055853514;2.166397775;0.145688456;14;0;157.9148122;212;67;0.06;5.763636364;6.479090909;87.5;84;0.05;0.05;0.05;0.05
21;3;119.9590266;1.875;48.02083333;351.3541667;3227;no;6.557254318;8;3.802604167;4.064939987;7.1;5.76074896;0.110019678;5.8;0;6.536067961;0.059917884;2.129199029;0;0;0;143.7708044;196;70;0.42;6.169230769;6.342307692;91;84;0.05;0.05;0.05;0.05
22;4;99.93129771;6.174957118;82.67581475;1555.231561;8220;no;29.98808389;26;10.04857143;4.243383422;6.2;9.052641784;0.275708331;9.1;0.281240911;8.847382453;0.069038938;2.51223461;59.21473582;66;26;301.6912264;400;170;1.93;10.93030303;8.234848485;86.5;84;0.16;0.08;0.05;0.08
23;4;99.96390081;6.003430532;65.00857633;1655.231561;8624;no;29.98284898;16;5.541176471;4.391912833;7;9.130474806;0.291778718;9.1;0.242102713;8.846351744;0.11477692;2.526424419;49.86143411;65;22;311.4098837;406;187;0.45;9.672727273;8.580606061;84.67;81;0.19;0.08;0.05;0.08
24;4;99.96740881;4.631217839;34.99142367;629.1595197;2811;no;30;12;6.653333333;4.214217557;6.6;9.458206107;0.164540084;9.5;0.204437023;8.794274809;0.081782346;2.482953244;42.03959924;66;33;315.4537214;384;249;0.35;9.42;8.474666667;89.67;88;0.2;0.08;0.05;0.08
25;4;99.98637016;4.802744425;111.6638079;1516.295026;8004;no;29.98614429;23;6.237142857;4.589941691;7.2;10.26054422;0.166983286;10.3;0.299951409;9.044975705;0.116911413;2.398658892;44.82215743;61;29;348.6399417;424;202;0.72;9.127272727;8.669393939;89.67;84;0.2;0.07;0.05;0.07
38;14;99.99656545;9.375;241.875;2085;3410;no;89.99120722;14;6.193333333;3.456918594;14.7;6.950014868;0.131428884;7;3.82068986;3.499195956;0.0295845;0.956448409;55.69747249;60;36;127.9113292;149;63;0.24;4.507142857;3.654285714;91.67;88;0.02;0.12;0.05;0.05
39;15;99.85645039;17.63636364;146.1818182;2686.272727;21235;no;45.07166288;32;10.9804878;5.836640041;7.8;9.350592784;0.219832975;9.4;3.580695876;8.899471649;0.1131977;2.492858247;61.52164948;66;0;261.7940722;419;0;0.81;9.686419753;8.462716049;83.5;81;0.11;0.07;0.05;0.05
26;1;99.71492178;10;169.5833333;2808.333333;6574;no;49.3457383;17;18.45862069;3.640671642;5.5;4.949253731;0.053629793;4.9;0.002860697;5.410746269;0.076402228;1.8;4.240049751;9;2;175.2151741;199;135;1.49;5.603703704;4.975555556;97.33;93;0.1;0.09;0.05;0.09
27;1;99.91943128;4.166666667;87.08333333;1602.5;3638;no;49.96213018;7;5.288235294;3.724637681;5.3;5.45821256;0.062728707;5.5;0;5.363864734;0.055589975;1.72;4.361111111;11;3;179.9939614;198;167;0.25;5.10625;5.269375;94.33;88;0.09;0.09;0.05;0.09
28;1;99.98158205;3.333333333;115.4166667;1072.083333;2401;no;50;4;5.845454545;3.918660287;5.7;5.056220096;0.066003588;5.1;0;5.354605263;0.047406634;1.782691388;4.630382775;12;3;165.7631579;182;68;0.14;5.218181818;5.321818182;93.83;91;0.09;0.07;0.05;0.07
29;1;100;2.916666667;114.5833333;705;1536;no;49.96313364;5;6.41;3.778205128;6;4.952037253;0.058176794;5;0.025261932;5.365948778;0.073091106;1.78;4.410942957;10;3;160.8020955;174;86;0.1;5.044444444;5.338888889;95.33;92;0.1;0.07;0.05;0.07
30;1;99.9853972;5.833333333;153.75;1282.083333;2861;no;50;6;6.021428571;3.956057007;5.9;4.354394299;0.058200738;4.4;0;5.325938242;0.032943377;1.857339667;4.668646081;12;4;144.1876485;163;130;0.13;4.914285714;5.292857143;96.5;91;0.1;0.09;0.05;0.09
31;1;99.92990544;3.333333333;71.66666667;1112.916667;2485;no;49.9622196;7;6.316666667;3.791137725;5.8;4.660598802;0.058495328;4.7;0;5.376550898;0.083908327;1.814826347;4.511377246;11;3;149.1245509;164;139;0.08;4.881818182;5.322727273;94.67;88;0.11;0.07;0.05;0.07
32;1;99.9806489;5.833333333;147.0833333;866.6666667;1820;no;49.96180556;9;4.790909091;3.984173505;5.8;4.354161782;0.059514129;4.4;0;5.374970692;0.065308264;1.865240328;4.773739742;11;3;138.014068;179;124;0.05;4.31;5.3;96.17;90;0.1;0.09;0.05;0.09
33;1;100;3.75;230;1262.916667;2809;no;49.92426036;11;6.146666667;3.70373494;5;4.859277108;0.05406923;4.9;0.174698795;5.353060241;0.035592978;1.76860241;4.330120482;10;4;165.4325301;183;151;0.08;4.653846154;5.322307692;92.33;86;0.07;0.06;0.05;0.06
34;1;99.95343602;2.5;62.08333333;884.1666667;1904;no;50;4;7.581818182;3.843697479;5.7;4.658943577;0.05940278;4.7;0;5.328067227;0.034126959;1.798595438;4.566626651;10;4;155.457383;169;143;0.18;4.672727273;5.260909091;94.17;85;0.06;0.07;0.05;0.07
35;1;99.92209166;2.5;80.83333333;747.5;1558;no;50;4;6.188888889;3.804631829;5.9;4.758788599;0.056450334;4.8;0;5.343574822;0.035255814;1.79;4.56888361;11;4;153.8574822;170;142;0.1;4.777777778;5.34;94.83;90;0.07;0.06;0.05;0.06
36;1;99.89871194;3.333333333;67.08333333;847.9166667;1785;no;50;6;11;3.946144721;5.4;5.053262159;0.065192289;5.1;0;5.429561091;0.035028621;1.79;4.733096085;12;4;154.6975089;168;144;0.46;5.190909091;5.280909091;96.17;92;0.07;0.07;0.05;0.07
37;1;99.96977568;3.75;71.66666667;1557.083333;3267;no;50;6;5.9;4.000481348;5.6;4.759085439;0.060608411;4.8;0;5.35833935;0.039862842;1.80290012;4.683513839;11;4;148.6004813;165;138;0.58;4.95625;5.150625;97.67;95;0.08;0.07;0.05;0.07
40;1;99.85955189;3.75;73.75;1045.833333;2095;no;50;6;10.43333333;4.092464115;6;4.656818182;0.060843732;4.7;0;5.476782297;0.072497321;1.833038278;4.623205742;11;4;142.8875598;163;129;0.38;4.808333333;5.186666667;96.33;93;0.08;0.08;0.05;0.08
41;1;99.96509988;4.166666667;104.1666667;2260;4760;no;75.11384977;11;5.166666667;4.213598075;5.6;4.454632972;0.06801544;4.5;0;5.387424789;0.053091068;1.850180505;5.010830325;13;3;135.5872443;160;104;0.36;4.51;5.2765;93.5;86;0.07;0.08;0.05;0.08
42;1;99.94666667;6.666666667;177.0833333;3345.833333;7306;no;79.92889908;9;4.06;4.059263658;5.7;5.953800475;0.099061221;6;0;5.402909739;0.068015623;1.7;4.952494062;11;3;165.6555819;225;82;0.15;5.396428571;5.32;98.33;92;0.16;0.11;0.05;0.11
43;1;99.91627635;3.75;120;2591.25;5858;no;79.92631579;7;6.653846154;4.045476478;5.3;5.152231604;0.077618318;5.2;0;5.405657419;0.078196509;1.783655006;4.810615199;11;3;154.7092883;171;139;0.15;5.368;5.2992;94;89;0.17;0.09;0.05;0.09
44;1;99.92298578;3.333333333;86.66666667;744.5833333;1262;no;80;6;7.6125;4.102990431;5.5;5.149282297;0.085678478;5.1;0;5.457416268;0.07845071;1.805514354;4.973684211;11;3;148.3038278;168;135;0.26;5.175;5.2825;92.83;89;0.21;0.09;0.05;0.09
45;1;99.84911661;6.25;141.6666667;1235;2622;no;80;10;4.715384615;4.163516746;5.7;4.953229665;0.075035161;5;0;5.423444976;0.074779344;1.817320574;4.816985646;10;3;143.3528708;160;130;0.18;5.076923077;5.343076923;94;90;0.14;0.09;0.05;0.09
46;1;100;2.083333333;140;959.5833333;1865;no;80;4;4.62;4.222884386;5.6;5.05601907;0.080475197;5.1;0;5.383921335;0.065300835;1.791179976;4.836710369;11;3;144.2884386;168;130;0.44;5.08;5.246;96.17;93;0.18;0.1;0.05;0.1
47;1;99.99267139;2.916666667;71.25;990.4166667;1750;no;80;6;4.766666667;4.187096774;5.8;5.256272401;0.077332702;5.3;0;5.401792115;0.070520212;1.78692951;4.878136201;11;3;146.5615293;165;132;0.44;5.166666667;5.242222222;96;86;0.16;0.08;0.05;0.08
48;1;99.94361079;5;117.0833333;1872.5;3557;no;80;6;9.523529412;4.178229665;5.5;4.859449761;0.069172585;4.9;0;5.366901914;0.093997554;1.822009569;4.860047847;11;3;139.2093301;160;73;0.1;4.776470588;5.241764706;95;91;0.17;0.11;0.05;0.11
49;1;99.92603062;5;195.4166667;1230.416667;2466;no;79.92588235;8;6.1;4.294026284;6;5.055555556;0.068534442;5.1;0;5.374958184;0.075924317;1.801266428;4.621266428;11;3;141.5328554;157;98;0.12;4.941666667;5.314166667;91.83;85;0.21;0.1;0.05;0.05
50;1;99.95840188;4.583333333;98.75;780.8333333;1439;no;79.92723005;5;10.72;4.306413302;5.9;5.053206651;0.071806501;5.1;0;5.363444181;0.071759042;1.801437055;4.732779097;12;3;142.3562945;158;72;0.06;4.833333333;5.356666667;90;84;0.24;0.1;0.05;0.1
51;1;99.9890973;3.75;105;843.3333333;1569;no;80;6;5.9;4.234282325;5.8;5.156820878;0.06600475;5.2;0;5.34915777;0.07852184;1.793036773;4.551601423;10;3;144.7212337;165;133;0.26;5.35;5.222;91.67;89;0.24;0.1;0.05;0.1
52;1;99.93106332;3.333333333;91.25;752.5;1390;no;80;4;7.233333333;4.23852657;6;5.152536232;0.063974318;5.2;0;5.356352657;0.06217914;1.8;4.427536232;9;3;144.9178744;162;132;0.23;5.022222222;5.317777778;90.5;87;0.18;0.09;0.05;0.09
53;1;99.95381008;4.166666667;110.8333333;791.25;1442;no;80;6;4.5;4.246445498;5.8;5.152014218;0.060705381;5.2;0;5.337322275;0.075041691;1.789668246;4.555687204;11;3;143.5983412;160;76;0.16;5.266666667;5.258888889;92.83;89;0.21;0.1;0.05;0.1
54;1;100;2.916666667;100.8333333;890.8333333;1876;no;80;4;8.5;4.202517986;6;4.956354916;0.057887158;5;0;5.282014388;0.074703221;1.8;4.315347722;10;3;137.7973621;153;126;0.34;4.822222222;5.186666667;92.5;86;0.18;0.11;0.05;0.11
55;1;99.92517986;4.166666667;182.9166667;1258.75;1710;no;50;4;9.377777778;4.449575758;5.6;4.857090909;0.060749947;4.9;0;5.382472727;0.033293262;1.817369697;4.63030303;10;3;138.1878788;155;90;0.35;4.855555556;5.228888889;96;90;0.23;0.1;0.05;0.1
56;1;99.98554642;2.5;91.25;1441.25;2822;no;69.77464789;7;10.45;4.142601432;5.5;4.861455847;0.065446028;4.9;0;5.273818616;0.035847487;1.8;4.508353222;9;3;136.0656325;156;124;0.12;4.853846154;5.266153846;95.83;92;0.16;0.1;0.05;0.1
57;2;119.9837417;2.239583333;22.44791667;1226.458333;14041;no;19.99877537;19;12.88222222;5.996473285;8.5;4.050978663;0.093954911;4.1;0.018497619;5.65977958;0.059372712;1.506058896;63.35478752;158;2;19.68559337;26;14;1.77;5.451162791;4.992093023;89.5;85;0.05;0.05;0.05;0.05
58;2;119.8847225;4.583333333;43.22916667;1387.135417;9705;no;28.67419635;9;8.265625;5.718486808;8.5;3.755293088;0.082961656;3.8;0.00015748;5.556052493;0.196043622;1.546265967;65.06246719;140;1;19.01294838;25;11;1.23;3.74375;5.3821875;90.5;86;0.05;0.05;0.05;0.05
59;2;119.9735106;1.354166667;23.02083333;542.6041667;6302;no;40;14;4.154545455;4.732795979;8.3;4.352834113;0.055856964;4.4;0.051308719;5.299812793;0.0335591;1.447958052;55.22690241;110;5;20.61778471;27;17;0.53;3.845454545;5.347272727;90.83;87;0.05;0.05;0.05;0.05
60;3;119.6522246;12.08333333;96.35416667;1906.041667;12420;no;7.346952356;19;6.121674877;6.486809907;9;5.965186246;0.382038557;5.9;0.07213467;7.404401862;0.134343956;2.24620702;38.3993553;55;7;200.0469198;293;87;2.71;8.7325;6.3225;86.33;83;0.07;0.05;0.07;0.05
61;24;99.91775984;4.818181818;56.18181818;2005.909091;17215;no;49.99420071;32;11.43880597;5.642805848;8.1;9.465469472;0.129637174;9.5;4.159286814;8.076611083;0.061995166;2.263991791;16.21139046;19;2;51.60646485;60;48;0.9;9.378787879;8.016060606;90.33;84;0.05;0.28;0.06;0.09
73;23;119.9465578;1.666666667;32.8125;1930.520833;17677;no;49.84509039;13;9.063157895;6.039544139;10.6;5.560753077;0.113815067;5.6;0;6.979811731;0.060629626;2.317074584;50.42577842;59;31;211.7929037;238;183;1.26;5.592857143;6.591964286;91.5;83;0.02;0.32;0.07;0.12
74;23;119.9741015;1.770833333;30.9375;555.5208333;5050;no;69.97181113;10;7.933333333;4.625;8.7;5.25712766;0.112292904;5.3;0;6.49043617;0.073176456;2.334400709;56.47304965;64;52;202.9847518;226;178;0.64;5.583333333;6.562777778;91.5;83;0.02;0.32;0.07;0.12
75;23;119.9343416;1.354166667;38.54166667;670.5208333;6402;no;69.98150125;12;4.491304348;4.48579627;11;5.461370158;0.105312026;5.5;0;6.470064562;0.049337878;2.309835007;57.42431851;62;52;208.678264;254;184;0.29;5.168181818;6.321818182;90.83;88;0;0.23;0.05;0.1
76;23;119.995646;1.145833333;28.95833333;356.3541667;3383;no;69.98124558;9;5.614285714;4.893634424;10.6;5.460561878;0.10728749;5.5;0;6.531813656;0.054981483;2.325533428;59.8844239;65;49;211.0192034;245;189;0.48;6.723076923;6.299230769;92.17;89;0;0.21;0.05;0.09
62;12;119.9051233;3.645833333;77.91666667;634.5833333;11853;no;29.99475616;38;7.535;2.993786305;4.7;8.158802817;0.099885354;8.2;0.009066901;4.011235915;0.05899362;0.803589789;57.80123239;73;47;152.6367958;219;101;1.5;6.551282051;3.970512821;98.33;95;0;0.24;0.05;0.11
63;12;119.9196347;7.760416667;111.875;1300.625;6663;yes;29.96445456;13;3.869565217;2.942791842;10.6;7.456021866;0.548689613;7.5;0.016434491;4.018203139;0.060835149;0.834556516;55.73796509;72;50;140.2937753;196;72;0.36;8.565217391;3.873478261;97.33;93;0;0.24;0.05;0.11
64;10;119.9101683;3.333333333;60.625;735.8333333;6721;no;49.98878374;20;5.5375;4.444538706;6.3;10.36320255;0.133576873;10.4;0.117426653;4.755365854;0.032679416;0.964878049;3.940261577;10;3;127.7546836;209;0;0.13;9.586956522;4.715652174;92.17;88;0;0.29;0.05;0.11
65;10;119.9929775;1.25;36.5625;398.2291667;3685;no;50;6;7.6;3.963844797;6;10.35982363;0.118407916;10.4;0;4.807795414;0.031623454;0.977971781;3.68712522;12;2;66.65961199;186;0;0.5;11.28461538;4.602307692;92.33;91;0;0.21;0.05;0.09
66;10;119.9499825;2.5;46.5625;1072.395833;9769;no;49.98846154;11;6.951515152;4.369189954;6.7;9.36370711;0.186710214;9.4;0;4.899402193;0.038772248;1.079281924;3.971347718;11;2;61.96356562;182;0;0.34;9.334375;4.750625;92.83;89;0;0.26;0.05;0.09
67;10;119.9721831;1.25;33.4375;245.9375;2148;no;49.97712878;6;10.575;4.229363958;6.9;9.463886926;0.17257049;9.5;0;4.929699647;0.036203954;1.070038869;3.692226148;12;2;37.48515901;171;0;0.08;9.26;4.842;88.67;85;0;0.21;0.05;0.09
68;10;119.9787197;1.145833333;46.45833333;376.7708333;3534;no;50;6;7.526666667;4.268811881;7;9.761138614;0.1590998;9.8;0;4.960632956;0.035153748;1.051011315;3.53960396;10;2;5.937411598;171;0;0.97;8.846666667;4.622666667;88.83;85;0;0.2;0.05;0.08
69;10;119.9679272;1.770833333;33.85416667;787.8125;7325;no;49.98879944;9;5.996;4.558474576;6.8;9.657521186;0.151758559;9.7;0;4.964915254;0.029992226;1.05;3.860875706;11;2;52.65218927;171;0;0.32;10.05833333;4.828333333;91.17;89;0;0.26;0.06;0.08
70;22;119.9517969;3.125;37.34375;440.3645833;4934;no;79.95885635;18;13.8375;3.745856643;8.1;4.959436768;0.46186318;4.7;0;5.545548365;0.098293705;1.598184362;86.11299633;156;65;186.9623929;251;123;1.28;5.14;5.221333333;94.5;92;0;0.26;0.05;0.13
71;22;119.9833478;2.8125;35.67708333;627.6041667;7691;no;79.97153766;10;7.888888889;4.443870968;6;4.858929194;0.060288604;4.9;0;5.535762121;0.063236202;1.616721311;83.76403907;113;63;181.5326125;229;110;0.2;4.856;5.494;92.67;87;0;0.29;0.06;0.1
72;22;119.9505024;5.520833333;51.25;556.6666667;6627;no;79.97835123;13;6.764;4.74073752;6.5;5.352496086;0.119422673;5.4;0;5.506898591;0.067153583;1.563104888;84.41485476;104;0;188.0057401;270;0;0.7;5.786956522;5.710869565;90.67;86;0;0.28;0.05;0.11
81;16;99.9880443;8.958333333;249.7916667;6456.458333;3743;no;89.99576763;12;15.88333333;5.233476494;7.2;5.121752757;0.225336254;5.2;2.124817179;3.562629716;0.020390505;0.653305281;407.7630296;499;70;101.562101;121;73;0.13;2.576470588;3.77;98.67;97;0.02;0.05;0.05;0.05
77;20;99.9515746;2.636363636;67.36363636;1085.090909;4855;no;44.98581011;13;28.23043478;4.671866078;14.5;9.469089022;0.162732781;9.5;0.241240592;8.472821178;0.092649691;2.606856995;25.1603945;80;18;276.9057877;508;178;0.43;8.985714286;8.298095238;90.67;87;0.08;0.05;0.05;0.05
78;20;99.93690293;3.727272727;58.09090909;741.9090909;7927;no;69.9029525;14;4.987096774;3.495600414;5.1;8.858788506;0.102302759;8.9;0.504996117;8.193290189;0.08107876;2.65;43.99559928;52;23;251.021227;302;159;0.55;9.751612903;8.289354839;83.83;81;0.08;0.05;0.05;0.05
79;20;100;1.363636364;31.36363636;745.5454545;8158;no;69.98663926;12;4.26969697;3.746125939;5.5;9.058367876;0.110758086;9.1;0.602202073;8.242396373;0.091286809;2.629160622;40.06968912;54;17;255.638601;537;139;1.31;9.1375;8.0475;89.17;84;0.07;0.08;0.05;0.08
80;9;99.82351544;5.416666667;96.25;1159.166667;2766;no;19.99644128;10;11.55333333;5.098309179;6.4;5.354589372;0.051018175;5.4;0.1;4.087898551;0.038994984;0.938997585;250.5519324;390;206;85.4263285;100;75;0.21;7.607142857;3.933571429;92.83;91;0.03;0.23;0.05;0.1
82;7;119.875299;2.333333333;109.3333333;907.5;8197;no;19.99833194;19;7.224137931;3.193245516;9.2;8.786988222;0.758931162;8.3;0.081155356;5.183791363;0.026383411;1.045740325;2.586371284;22;0;195.67106;241;107;0.52;7.644827586;4.975862069;89.33;87;0.04;0.09;0.05;0.09
83;11;99.99116959;3.958333333;76.04166667;1079.791667;4910;no;30.02162478;9;9.065217391;6.178732227;9.7;2.958590047;0.049511211;3;0;3.775924171;0.033463906;0.937742891;439.653436;494;389;82.25651659;95;77;0.2;3.140909091;3.729545455;95.33;92;0.05;0.25;0.05;0.11
84;11;99.96899942;4.791666667;60.83333333;701.6666667;2791;no;30;7;8.978571429;6.229620991;10.7;2.459358601;0.049249291;2.5;0;3.746361516;0.039593146;0.997131195;448.2437318;474;105;78.26705539;88;28;0.17;2.814285714;3.701428571;95.5;94;0.04;0.24;0.05;0.11
85;11;99.87002356;8.333333333;172.7083333;1687.083333;2276;yes;30;6;4.775;5.965005931;35;2.99940688;0.298422566;2.8;0.040747331;3.768256228;0.045953617;0.908879004;464.2348754;650;66;90.87663108;142;29;0.1;2.725;3.693333333;97;92;0.06;0.24;0.05;0.11
86;11;99.92202103;2.708333333;51.25;668.125;3006;no;30;9;7.186666667;5.480612846;8.6;3.359929287;0.049138759;3.4;0.061166765;3.70824396;0.026676864;0.84;486.5904537;534;402;100.7790218;113;86;0.14;3.7;3.757333333;94;89;0.06;0.24;0.05;0.11
87;11;99.89409065;5.208333333;102.0833333;877.2916667;3722;no;29.99312321;10;4.684210526;5.651216686;10.4;3.359478261;0.049343312;3.4;0;3.742846377;0.033953738;0.866052174;474.4278261;512;109;102.0307246;121;64;0.14;3.35;3.677222222;98.33;92;0.05;0.28;0.05;0.15
88;21;99.79843185;3.333333333;85;246.25;408;no;50;4;5.133333333;4.616160389;9.5;4.663061968;0.052168124;4.7;0.089914945;5.24490887;0.130285893;1.744605103;64.2308627;75;30;197.653706;214;110;0.06;4.783333333;5.28;95.67;88;0.03;0.06;0.05;0.05
89;21;100;2.083333333;93.33333333;511.6666667;1182;no;49.96266044;7;7.5;4.75884434;9.3;4.455896226;0.054659177;4.5;0.031367925;5.207417453;0.12909294;1.757771226;65.56014151;72;58;187.2299528;203;171;0.11;4.625;5.2725;91.67;88;0.03;0.05;0.05;0.05
90;14;99.89743259;145.4166667;1118.125;10542.91667;8269;no;21.05463489;26;13.21578947;4.303233758;13.2;7.048831337;0.143868382;7.1;3.377677942;3.707882311;0.0637056;0.636050623;53.02178764;63;0;365.7604534;415;0;0.23;4.746875;3.7034375;96.83;95;0.03;0.11;0.05;0.05
91;14;99.98013547;21.45833333;244.375;1908.125;7338;no;29.98867748;12;5.81;3.630940131;5.6;4.456723402;0.062700145;4.5;1.569901152;3.635031877;0.059482151;0.819857285;54.88857694;60;46;365.5803942;400;75;0.17;6.093103448;3.671724138;95.5;92;0.05;0.06;0.05;0.05
92;15;99.94566969;5.181818182;54.54545455;1615.818182;8716;yes;20.32193145;37;3.576744186;7.018125401;14.5;11.35385983;0.204500004;11.4;4.657135602;8.329951752;0.124725038;2.518227527;17.67877095;53;7;120.5330117;129;108;0.4;11.12941176;8.173529412;90;84;0.09;0.05;0.05;0.05
93;15;99.97751958;4.363636364;47.81818182;896.9090909;8134;no;19.99389587;6;4.639366516;4.371087038;8;11.86195569;0.1624414;11.9;5.079373568;8.291235039;0.054038415;2.545928189;22.61650115;31;8;125.4087089;134;118;0.37;12.68125;8.199375;87.25;76;0.12;0.12;0.07;0.05
95;25;100;2.916666667;112.9166667;826.25;1939;no;49.9625731;9;14.44545455;5.059834123;9.6;4.455924171;0.054243193;4.5;0.026895735;5.196078199;0.12707177;1.74985782;68.27488152;77;58;186.3388626;201;170;0.49;5.07;5.397;94.5;88;0.04;0.24;0.05;0.11
