batch;code;tbl_speed_mean;tbl_speed_change;tbl_speed_0_duration;total_waste;startup_waste;weekend;fom_mean;fom_change;SREL_startup_mean;SREL_production_mean;SREL_production_max;main_CompForce mean;main_CompForce_sd;main_CompForce_median;pre_CompForce_mean;tbl_fill_mean;tbl_fill_sd;cyl_height_mean;stiffness_mean;stiffness_max;stiffness_min;ejection_mean;ejection_max;ejection_min;Startup_tbl_fill_maxDifference;Startup_main_CompForce_mean;Startup_tbl_fill_mean;Drug release average (%);Drug release min (%);Residual solvent;Total impurities;Impurity O;Impurity L
899;23;160;1.5625;44.0625;1494.6875;13597;no;99.87988695;14;6.135294118;4.304882719;6.3;8.157348013;0.202770216;8.2;0.300191479;6.553135472;0.03901421;1.809660124;213.4035424;229;167;386.4930589;445;94;0.29;8.725806452;6.4;88.33;80;0.03;0.26;0.05;0.13
900;23;159.9828665;3.958333333;73.64583333;1041.5625;8739;no;99.98552754;14;5.331818182;4.646320755;7.3;7.959009434;0.257632815;8;0.30004717;6.505674528;0.064270824;1.810174528;209.3188679;233;153;381.6731132;444;140;0.26;8.045454545;6.356818182;89.5;88;0.06;0.25;0.05;0.13
908;15;79.97900541;3.272727273;61.81818182;768.3636364;5688;no;44.98877531;11;5.832258065;4.342093586;6.2;8.97900363;0.399314593;9.1;4.110205728;8.645276321;0.08368863;2.487438483;5.133521581;10;1;182.8602259;216;117;0.6;9.134482759;8.497586207;93.33;92;0.02;0.06;0.05;0.05
909;15;79.91689461;8.909090909;179.6363636;2070.545455;10061;yes;47.86587573;17;4.478431373;4.359264527;12.8;8.743466775;0.4793272;8.6;4.165190002;8.655358667;0.101378098;2.513426133;5.216622638;10;1;196.0217435;882;121;0.5;8.588235294;8.464705882;89;85;0.07;0.06;0.05;0.05
901;23;159.9825945;1.25;57.1875;697.6041667;6487;no;99.95802239;9;7.238888889;4.439981185;6.6;7.662652869;0.193900688;7.7;0.3;6.599134525;0.047213196;1.835663217;214.144873;234;194;363.5856068;397;156;0.14;7.729411765;6.462352941;91.83;87;0.07;0.28;0.05;0.1
902;23;159.9483434;7.604166667;81.45833333;2005.9375;16087;no;99.86812675;11;4.382051282;4.891694352;7.2;7.248978622;0.281360343;7.3;0.019287411;6.625586698;0.049030043;1.821244656;207.8859857;231;160;363.5007126;409;137;0.56;6.936842105;6.423421053;87.83;82;0.2;0.23;0.05;0.1
903;23;159.9306142;3.4375;60.3125;2453.333333;22343;no;99.9517112;19;4.95;5.243819144;8.4;7.256277056;0.223300538;7.3;0.145839346;6.596464646;0.046840067;1.86;212.3636364;234;162;360.7070707;386;155;0.32;8.081481481;6.458148148;91.33;87;0.11;0.29;0.05;0.1
904;23;159.9825701;1.875;55.3125;1106.041667;10253;no;99.99719626;14;5.811538462;4.292620624;6.9;6.755912961;0.145269448;6.8;0.201040681;6.532942289;0.051331071;1.90025544;213.5326395;235;182;343.0264901;393;304;0.25;6.830769231;6.516923077;84.33;80;0.07;0.24;0.05;0.11
905;23;160;1.145833333;34.6875;676.0416667;6261;no;99.93843284;11;4.389473684;4.558635294;6.8;6.556988235;0.145310766;6.6;0.298729412;6.526164706;0.043661525;1.928701176;213.7844706;230;160;350.0225882;407;305;0.12;6.594444444;6.441666667;88.67;85;0.11;0.31;0.06;0.11
906;23;160;0.9375;49.375;499.375;4487;no;99.95947834;9;6.042857143;4.349695265;7.3;6.360056259;0.147869157;6.4;0.3;6.457107361;0.057629259;1.954697609;203.8096578;239;140;354.9353024;398;315;0.3;7.623076923;6.263076923;88.67;84;0.07;0.29;0.06;0.1
